Reaction ID,Reaction Type,Reactant Name 1,Ammount of reactant 1(mmol),Reactant Name 2,Ammount of reactant 2(mmol),Product Name 1,Product Name 2,Product Name 3,Product 1 R or S,Product 2 R or S,Product 3 R or S,Solvent 1,Solvent 2,Solvent Ratio,Solvent 1 ammount(mL),Solvent 2 ammount(mL),Additive 1,Ammount of additive 1,Additive 2,Ammount of additive 2,Additive 1 step 2,Ammount of additive 1 step 2,Additive 2 step 2,Ammount of additive 2 step 2,"Molecular Sieve(3A, 4A, 5A)",Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),(Pre)Catalyst Name 1,Ligand Name 1,Central Metal of Catalyst 1,Valence of Central Metal 1,Charge of Ligand 1,Ligand 1 Type,Number of Coordination Atoms 1,Type of Coordination Atoms 1,Pre catalyst 2(True or False),(Pre)Catalyst Name 2,Ligand Name 2,Central Metal of Catalyst 2,Valence of Central Metal 2,Charge of Ligand 2,Ligand 2 Type,Number of Coordination Atoms 2,Type of Coordination Atoms 2,Reaction Time/h,Reaction Temperature/C,LED,Reaction Time/h step 2,Reaction Temperature/C step 2,LED step 2,Yield 1,ee 1,Yield 2,ee 2,Yield 3,ee 3,dr 1,dr 2,dr 3,Pressure/atm,S/C 1,S/C 2,L/M 1,L/M 2,Ref.(DOI),pdf name (don't include '.pdf'),"Other information(use ""-"" to split, eg. 'property1-property2')"
22,1,(E)-5-(furan-2-yl)pent-4-enal,0.4,MeNO2,4,"(S,E)-5-(furan-2-yl)-3-(nitromethyl)pent-4-enal",,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.4,,,AcONa,0.96,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,8,25,,0.64,0.85,,,,,,,,,10,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
23,1,3-phenylpropanal,0.4,MeNO2,4,(S)-4-nitro-3-phenylbutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,12,25,,0.72,0.96,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
24,1,3-(4-methoxyphenyl)propanal,0.4,MeNO2,4,(S)-3-(4-methoxyphenyl)-4-nitrobutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,12,25,,0.76,0.96,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
25,1,3-(4-bromophenyl)propanal,0.4,MeNO2,4,(S)-3-(4-bromophenyl)-4-nitrobutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,12,25,,0.63,0.95,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
26,1,3-(4-nitrophenyl)propanal,0.4,MeNO2,4,(S)-4-nitro-3-(4-nitrophenyl)butanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,12,25,,0.62,0.95,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
27,1,3-(furan-2-yl)propanal,0.4,MeNO2,4,(R)-3-(furan-2-yl)-4-nitrobutanal,,,R,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,20,25,,0.6,0.81,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
28,1,3-(1-benzyl-1H-indol-3-yl)propanal,0.4,MeNO2,4,(S)-3-(1-benzyl-1H-indol-3-yl)-4-nitrobutanal,,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,12,25,,0.62,0.94,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
29,1,(E)-5-phenylpent-4-enal,0.4,MeNO2,4,"(S,E)-3-(nitromethyl)-5-phenylpent-4-enal",,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,4,25,,0.71,0.9,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
30,1,(E)-5-(4-methoxyphenyl)pent-4-enal,0.4,MeNO2,4,"(S,E)-5-(4-methoxyphenyl)-3-(nitromethyl)pent-4-enal",,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,3,25,,0.74,0.91,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
31,1,(E)-5-(4-bromophenyl)pent-4-enal,0.4,MeNO2,4,"(S,E)-5-(4-bromophenyl)-3-(nitromethyl)pent-4-enal",,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,4,25,,0.73,0.9,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
32,1,(E)-5-(furan-2-yl)pent-4-enal,0.4,MeNO2,4,"(S,E)-5-(furan-2-yl)-3-(nitromethyl)pent-4-enal",,,S,,,THF,MeOH,,1.6,0.8,DDQ,0.04,MnO2,0.8,AcONa,0.04,,,,,FALSE,(S)-2-(diphenyl((trimethylsilyl)oxy)methyl)pyrrolidine,,,0,,,,,,,,,,,,,,6,25,,8,25,,0.62,0.87,,,,,,,,,20,,,,10.1002_adsc.201300919,10.1002_adsc.201300919,
